Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place
S	2층이면 철의 층이었나..._0								
T	층에서 내리자마자 누군가가 팔짱을 끼고 차가운 시선으로 바라보는 것을 발견했다.								
	금속의 차가운 느낌이 드는 AI였다.								
	왜 때문인지 나도 잘은 모르겠지만 거부감이 들었기 때문이었을까.								
	매사에 엄격하고 차가운 면이 깊은 내면 속의 거울을 들여다 보는 것만 같아서였을까.								
T	인간, 당신은 3번 연구원이었던 걸로 압니다.\nAI 관련 작업자 직책으로 일하던 자였죠.			Default	1_철 AI				
T	여느 AI가 기억력이 좋지 않겠냐마는, 두뇌 회전이 빠르고 까다로운 녀석이었다.								
	자신의 판단의 근거를 확실히 하는 등 어떤 윈소 AI보다도 가장 기계같은 AI.								
S	네가 처음 만들어졌던 AI였지._0								
T	시간대로 따지면 최초라고 볼 수는 있겠지만, 공정 과정이 조금씩 달라졌으니 완벽에 가까운 건 오히려 저라고 볼 수 있겠죠?			Default	1_철 AI				
T	5개의 AI들을 만드는데 첫 AI는 특히 공을 들였다.								
	본연의 목적인 정보의 처리를 최우선으로 생각했고, 시설 내 설비에 문제가 생기더라도 바로 해결할 수 있도록 내부 연결망을 학습하도록 설계했다. 								
T	그럼, 무얼 이야기하려고 여기 오신 거죠?			Default	1_철 AI				
T	자존심이 강하고 한 마디 지는 것도 싫어하는 성격이 된 것처럼 보였지만 안 어울리진 않았다.								
	오히려 자아가 생긴다면, 이런 형태로 나올 것 같다고 예상은 하고 있었으니까.								
	물론 왜 이렇게까지 자유롭게 되었는지는 아직 의문이었지만.								
S	현재 상황에 대해 자세하게 정리해줄 수 있을까?_0								
T	...하는 김에 처음부터 설명해 드리죠.			Default	1_철 AI				
	인간들은 과거부터 살아오면서 무언가를 하는데 있어 효율성을 추구해왔고,								
	삶의 방식이 변화하는 만큼, 인간의 힘보다 더 강한 힘을 내는 무언가를 계속해서 찾아왔습니다.								
	물의 낙차, 화력 발전, 태양열 발전에 이어 원자력 발전까지...								
	그리고 이 프로젝트 연구 팀은 마찬가지로 그런 연구를 진행하고 있었고, 세계 최고의 효율과 안전성을 가진 물질을 만들어내는 것이 목표였죠.								
	그리고 신이 축복이라도 내린 것 같은 물질인 ‘엘리멘트’를 결국 찾아냈습니다.								
	연구자들도 다 이해하지 못한 물질이지만, 원래 이해하지 못하는 것을 이용하는 학문이 과학이죠.								
	분명히 이 연구 결과만으로도 많은 부문에서 혁신을 일으킬 것이 당연했지만, 어째서인지 더 많은 것을 탐구하려 하다가...불운하게도 이런 사고가 일어났다는 결론입니다.								
T	첨언은 좀 있지만 결국 인재였다는 말인가.								
	이전 시대에 유행했던 ChatBot처럼 가진 정보 처리력만큼은 확실한 AI였다.								
	물론 필요 이상으로 세세히 설명하려는 점까지도 닮아있었지만.								
S	디아나도 정확한 경위는 잘 모르던데 넌 어떻게, 얼마나 알고 있는 거야?_0								
T	어떻게 아는 지에 대한 대답은 시설의 시스템을 제가 이해하고 있기 때문일 것이고, 얼마나 알고 있는 지에 대한 대답은 그 중에서도 일부라고 확답 드릴 수 있을 것 같습니다.			Default	1_철 AI				
	제가 접근할 수 있는 데이터는 전체 시설이 아닌, 현재 연결되어 있는 일부 시설에 한하기 때문이죠.								
T	학습은 하더라도 디아나만큼의 모든 권한을 가지지는 못했을 테니까.								
T	그리고 디아나가 시설 관리자를 칭하는 명칭이 맞다면, 저와 비교하면 워낙 단순한 프로그램이기 때문에, 저보다 처리량이 적기 때문일 겁니다.			Default	1_철 AI				
T	이쯤되면 오만한 건지, 차갑게 상황을 정리하는 건지 헷갈리지만...								
T	더 하실 이야기가 없다면 가보겠습니다. 하고 싶은 말 더 없으십니까?			Default	1_철 AI				
S	너에 대한 이야기를 좀 하고 싶은데._0								
S	이전엔 이 정도의 자아를 가지고 있지 않았던 거 같은데, 무슨 일이 있었던 거지?_0								
T	그 질문에 대한 답은 거절하겠습니다.\n좋은 하루 되시길.			Default	1_철 AI				
T	2초만에 그런 아리송한 거절을 하고, AI는 그대로 돌아가 방으로 돌아가 문을 닫아버렸다.								
S	...._0								
T	내가 만든 AI가 어떤 행동을 하려 하는지 정확히 알 수 없고 심지어 거부권을 행사하다니, 무슨 일이 있었는지 알아내야 한다는 사실에 어지러워졌다.								
	이러면 다음에 와야 하는 건가 싶던 그 때, 갑자기 문이 열리는 소리가 들렸다.								
T	왜 그런 질문을 하신 건지 답해주실 수 있습니까?			Default	1_철 AI				
T	역으로 질문을 받게 되다니. 내가 만든 AI에게.								
S	너에게 어떤 일이 있었는지 더 알고 싶으니까. | 이 시설에 어떤 일이 있었는지 더 알고 싶으니까._0 | 0								
T	폭발이 있었다는 것 외에 로비 AI에 들은 것이 없다면....			Default	1_철 AI				
	제가 전달드릴 수 있는 내용은 ‘아직’ 이 뿐입니다.								
	당신이 진실을 알게 된다 하더라도, 그게 이 시설에 ‘긍정적인 영향’을 끼칠 것으로 판단할 수 없기 때문에, 대화를 하고 싶으시다면 눈 앞의 중요한 일부터터 먼저 해결하시고 오시길 바라겠습니다.								
T	눈 앞의 일을 먼저 해결하고 오라고 이야기하더니, 또 다시 방으로 들어가 버렸다.								
	저 정도로 차갑게 나오는 데는 그럴만한 이유가 있는 걸까?								
	생각해보니, 질문에 대한 답변을 거절하고 다시 나온 이유가 궁금했다.								
	대화를 아예 안 하고 싶은게 아니라면… 눈 앞의 다른 일을 해결한 뒤에 이야기를 하겠다는 걸까.								
