Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	1_C								철의 층	
T	물론, 제 존재 의의는 인간을 돕는 것이 맞습니다.\n하지만 저는 제가 꼭 도와드려야만 하는 이유는 없다고 생각합니다.			Default	1_철 AI					
T	튕기는 건가, 대체 뭐가 마음에 들지 않아서 이렇게 눈치를 보게 만드는 건지.									
S	대체 왜 그러는 저기? 마음에 안드는게 있나? | 돕지 않았을 때의 이익이 도울 때보다 높은가?_0 | 7									
T	마음에 안 든다기보다는...믿을 수 없기 때문이겠죠.			Default	1_철 AI					
	이미 현재 상황도 그렇지만, 문제를 일으킨 주체도 인간이고...			Default	1_철 AI					
	심지어 당신에게는 관련 지식도 많은 것도 아니니까, 그렇겠죠.			Default	1_철 AI					
T	결국 아직 인간에 대한 불신을 버리지 못했다는 건가.									
S	그래도 첫 날, 네가 다시 돌아왔던 이유가 있었을 거 아냐._0									
T	물론 어떤 일을 해야 할 지는 아는 것 같지만, 그래도....			Default	1_철 AI					
J	8									
T	돕지 않을 이유...			Default	1_철 AI					
T	돕지 않았을 때의 이득은 도와서 시설을 고치는 것에 비해 미미한게 당연했다.									
	자기가 생각해봐도 돕지 않는 것이 그렇지 않은 것보다 좋은 이유를 찾지 못하겠지.									
T	그럼 당신을 도우면 제게 어떤 이득이 있죠?			Default	1_철 AI					
S	....응?_0									
T	의외였다. 이런 질문을 하다니.									
	자신이 도울 수 있는 일이 있음에도 하지 않으려는 이유를 물었는데, 그 이유가 아니라 자신에게 오는 이득을 물어온다?									
T	아...잠깐만요, 아닙니다. 방금 이야기는 취소하죠.			Default	1_철 AI					
T	판단 오류인가? 생각보다 허술한 대답이 나타나고 있었다.									
	그리고 그걸 AI도 알아챈 듯한 느낌이었다.									
T	이건 당신에게 내는 문제이자 약속, 그리고 계약입니다.			Default	1_철 AI					
	인간처럼 거짓말이나 할루시네이션의 답을 할 수는 있겠지만...			Default	1_철 AI					
	최소한 이건 그냥 하는 이야기가 아닙니다. 			Default	1_철 AI					
S	그럼 몇 가지 질문은 해도 되는 거겠지?_0									
T	물론입니다.			Default	1_철 AI					
	제가 아는 한에서 최대한 답해드릴 수 있도록 노력해보죠.			Default	1_철 AI					
T	분위기가 확실히 바뀐 것이 느껴졌다.\n아까 질문에서의 답 때문이었을까?									
	끝까지 차분함을 유지하려고 하는 것 같았으나, 실제로는 그러지 못하고 있었다.									
	그래도, 자신도 그 사실을 알고 있을 테니, 굳이 찝을 필요는 없을 것 같았다.									
Flag	4									
