Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection
1일차 새벽								
			-1_FadeIn | 0 | 1					
T	대체 얼마나 잠들어 있던 거지?							
	나른한 기분 사이에서 깨어나, 물이 뚝뚝 떨어지는 몸을 간신히 이끌고,\n자유를 찾는 것처럼 한 걸음 한 걸음 딛어 좁은 동면관에서 벗어났다.							
	이제 난 무엇을 해야 하지. 생각의 정리가 잘 되지 않았다.							
	오래 전, 무언가를 하기 위해 여기 들어왔다는 것은 선명히 기억나지만…							
	다른 연구원들이 하나도 보이지 않는 것은 굉장히 이상한 일이었다.							
	그런 내 바로 앞의 동면관에, 한 여성이 눈을 감고 자는 것처럼 누워 있었다.	BG_1						
	친숙한 느낌이 들었지만 아무리 건드려 봐도 열리지도, 작동을 하는 것처럼 보이지도 않았다.							
	왜 나는 깨어났는데 이 연구원은 깨어나지 않은 건지 의문만 쌓여가기 시작했다.							
	그렇게 좌우를 둘러보니 어두컴컴한 방 끝에 하나의 문이 보였다.							
	그 문 위쪽에 난 작은 창문에서 희미하지만,\n내부의 어둠과 대비되는 하얀 빛이 흘러나오고 있었다.							
	몸은 본능적으로 그 쪽을 향했다.							
1일차 오전								
T	복도는 생명체의 어떠한 흔적도 남아 있지 않았다.							
	누군가가 정리한 흔적은 있었지만, 오히려 먼지가 쌓인 듯한 모습에 기묘한 느낌이 들었다.							
	옅은 빛은 어느새 점점 강한 빛이 되어가고 있었고.							
	마침내 복도에서 벗어나 넓은 공간에 발을 들이자, 전보다 강한 빛에 팔로 눈을 막을 수 밖에 없었다.							
	하얀 베이스에 검은 무늬가 적당히 들어간 거대한 로비가 나타난다.							
	여전히 아무도 없음에, 로비 한가운데에 있는 엘리베이터로 홀린듯이 이동하고,							
T	엘리베이터 버튼을 누르는데… 홀로그램의 형태로 한 인간같은 모습의 캐릭터가 등장한다.			Default	1_관리AI			
T	안녕하세요. 무사히 깨어나셨군요.							
T	중앙 관리 AI였나, 궁금한 게 있거나 시설 안에 바뀌는 게 있을 때마다 답하던 도우미였지.							
	오랜만에 봐서 반가웠지만, 지금은 궁금한 게 많았다.							
								
T	저는 이 시설을 관리하는 AI, 디아나라고 불러주세요.\n당신을 깨운 존재라고 생각해주시면 편할 것 같네요.			Default	1_디아나			
S	알고 있어. 내가 깨어난 건 계획된 일이었나?_0							
T	아닙니다. 계획이라고 보긴 그렇지만, 제가 당신을 깨운 것은 사실입니다.			Default	1_디아나			
S	그럼 지금 무슨 일이 일어나고 있는 거지? 다른 연구원들은 어떻게 된 거고._0							
T	간단하게 말하면… 갑작스러운 사고가 생겼습니다.			Default	1_디아나			
	엘리멘트에 대한 실험을 진행하다가 거대한 폭발이 있던 걸로 추정은 하고 있지만,\n이 때문에 많은 문제가 생겨 시설도 아직 정상 상태가 아닙니다.							
S	그러면, 그래서 나만 남은 건가?_0							
T	저도 모든 정보를 가지고 있는 건 아니지만…\n동면관에 들어가 있던 두 명을 제외한 나머지의 생체 신호가 없어 죽거나 실종된 것으로 생각됩니다.			Default	1_디아나			
	그리고 남은 자들 중에 깨울 수 있는 연구원이 당신이었기에, 이렇게 깨우게 되었습니다.							
	사건의 여파로 많은 시설에 문제가 생겨 어느 정도의 시간이 흘렀지만…							
	‘자원’과 ‘시간’이 한정되어 있고 아직 깨울 수 없었습니다.							
T	내 앞에 있던 후임 연구원 녀석은 깨울 수 없었다는 건가.							
	만약 반대의 입장에 있었을 수도 있다 생각하니 섬뜩한 기분이 들었다.							
S	그러면, 나는 지금 당장 뭘 해야 하지?_0							
T	할 수 있는 최선을 다해서 현재의 문제들을 해결하고 최선의 답을 찾아야겠죠.			Default	1_디아나			
	한 두가지의 문제만 저희 앞에서 기다리고 있는 것 같진 않지만,\n당신의 도움이 정말 절대적으로 필요해요.							
	당신의 목숨도 물론 달렸지만, 이 시설의 흥망, 그리고 동면 중인 연구원의 목숨도 달려 있으니까요.							
T	딱히 잊고 있던 건 아니었지만 다시 상황을 정리해보니 생각보다 심각한 상황이었다.							
	당장 타인의 생존을 걱정하기보다는 나 자신부터 잘 살펴야 할 상황이었으니까.							
T	그럼 자세한 이야기를 하기 전에, 잠시 로비를 좀 둘러보다가 오세요.			Default	1_디아나			
	한 번에 너무 많은 정보를 감당하는 것도 좋은 일 만은 아닐 테니까요.							
