Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place
T	네가 다시 일어나게 되면, 그 때는 아마 본격적으로 일이 끝난 상태일 거야.			Default	11_???				
	AI 유지 보수 부분도 다 작업해 두었으니… 좀 쉬다 일어나면 될 거고.								???
	……								
	또 말이 없구나. 그 시간 동안 생각하지는 못하겠지만, 최소한 네 시간을 아낄 수는 있겠지.								
	어짜피 나는 네가 끝까지 이 프로젝트를 나와 같이 완성할 거라 생각하거든?								
	우리는 이 세상을 송두리째 바꿀 프로젝트를 같이 하고 있는 거야.								
	그러니 잘 자고, 좋은 꿈 꿔라.								
	일어나면 좀 바쁠 테니까.								
T	또 다른 아침이다.								
	엊그제처럼 선명한 기억인 건 사실이다.								
	그 동안 동면하고 있었으니까.								
	하지만 현실이 그만큼 멀어보이는 것도 사실이다.								
	내 옆에 당연히 기다리고 있을 거라고 생각했던 연구원들 모두가 흔적도 남기지 않았으니까.								
T	좋은 아침이에요.			Default	10_디아나				
	이건 정해진 인사말이긴 하지만, 그래도 심리학자처럼 자세하게 이야기할 필요는 없잖아요?								
	그러면 좋은 소식 하나를 알려드릴게요.								
	이전까지는 2층까지밖에 엘리베이터가 작동하지 않았지만, 이제 갈 수 있는 곳이 늘어났어요!								
	아직 다 고쳐진 건 아니지만 그래도 더 많은 층을 접근할 수 있을 거에요. 아마 그럴 걸요?								
	자, 어느 층으로 가실 건가요?								
S	로비 | 다른 층_0 | 3								
T	아, 다른 층으로 안 가실 건가요?			Default	10_디아나				
	그럼 천천히 둘러 보세요.								
J	1								
T	편한 여행 되시길.			Default	10_디아나				
