Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	512_C								로비	
T	오늘도 좋은 아침이에요.\n표정이 좋지 않은데, 무슨 일 있었나요?			Default	10_디아나					
S	아니, 문제는 없어. | 그냥 뭔가가 기억날 듯 말 듯 해서._0|0									
T	그럼 뭐, 큰 일은 아니네요.			Default	10_디아나					
	가끔 꿈을 꾸고 일어난 인간들이 그 꿈을 잊어버리고 떠올리기 위해 노력하는 것처럼, 별 것 아니거나 나중에 떠오를 수 있겠죠.			Default	10_디아나					
	그나저나, AI들은 다들 괜찮아 보였나요?			Default	10_디아나					
S	철 | 불 | 땅 | 물 | 나무_0|2|4|6|8									
T	철 층은 어쩌구 저쩌구...			Default	10_디아나					
J										
T	그렇군요...아마 중간에 시간이 많이 있었기 때문에 그런 거겠죠.			Default	10_디아나					
	자신들만의 인격을 가지게 되기도 했으니 거리감이 있을 수 밖에 없었을 거예요.			Default	10_디아나					
T	아직 늦었다고는 생각하고 있지는 않았다.\n어느 정도는 해결할 수 있을 것 같아서.									
	하지만 아직도 확실하게 해낼 수 있겠다는 생각까지는 들지 않았다.									
T	저는 그 문제의 해결 방법을 알아요.			Default	10_디아나					
	$#%,당신이 제 이름을 지어주셨잖아요.			Default	10_디아나					
	저를 만드셨던 때, 관리자의 권한으로 이름을 부여해 주셨었죠.			Default	10_디아나					
	그 때의 상황을 혹시 기억하시나요?			Default	10_디아나					
T	생각해보면 대부분 AI들의 이름은 내가 지어주었다.									
	대표님이나 책임 연구원들은 AI들의 효율적인 사용법을 제외한 부분은 궁금해 하지 않았고, 각자를 특성으로부터 비롯된 원소의 이름 뒤에 AI를 붙이는 식으로 불렀으니까.									
	"디아나...괜찮은 이름 같은데요? 앤젤라나 글라도스 같은 이름은 어때요?"									
	그나마 후임 녀석은 관심이 있어 보였지만 고전 게임에나 나올 법한 이름을 가져오는게 문제였지.									
	그래서...그 AI들에게 나는 어떤 이름을 지어 주었었지?									
S	아...._0									
T	왜 그러세요?			Default	10_디아나					
S	덕분에 중요한 일들이 좀 기억난 것 같네. 고마워._0									
T	제게 항상 고마워 하시다가는 입이 말라버리실지도 몰라요.			Default	10_디아나					
	저는 우수한 AI기 때문에.			Default	10_디아나					
T	아마 저런 농담도 이런 상황에 놓인 나를 위해 선택하고 선택한 결과겠지.									
	고마움을 느끼면서도, 왜인지 모를 벽 같은 것에 막히는 듯했다.									
	친해질 방법을 찾기 위해 노력하는 내 모습이야말로 기계같다는 생각도 들면서.									
