Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	1024_C								???	
T	눈을 뜨자, 나는 한 회사 앞에 서 있었다.									
	이건 꿈인가, 나는 분명 시설 안에서 잠을 청했던 기억밖에는 나지 않았다.									
	풍경은 흐릿하고, 유리창에 나의 모습도 제대로 비치지 않는다.									
	당혹스러움에서 벗어나 현실을 파악하려던 내 몸에, 누군가 손을 대기 시작했다.									
T	그 쪽에서 천재라고 불렸다던가, 보기에는 그렇게 보이지 않는데 말이지.			Default	11_???					
T	소름이 돋았다. 그 목소리는 대표의 것이었으니까.									
T	좀 더 뻗친 머리에 이상한 복장이어야 능력있는 거 아닌가? 하하하하하			Default	11_대표					
S	이야기주셨던 대표님이십니까? 반갑습니다._0									
T	그리고 내 입에서 아주 자연스럽게 이야기가 흘러나왔다.									
	이건 내 과거의 기억...아마 처음 대표를 만났을 때의 시간인 것 같다.									
T	어느 정도는 알고 있을 텐데. 내가 원하는게 무엇인지 말이야.			Default	11_대표					
S	신 에너지에 관한 연구..._0									
S	이를 제어할 AI의 작업을 원하실 거라고 생각합니다._0									
T	내 입으로 말하는 건 부끄럽지만, 나는 내가 하고 싶은 일에 열의를 가지고 있었다.									
	노력과 운이 겹쳐, 주목받는 AI개발자가 되어 많은 기업들로부터 제의도 받았고.									
S	하지만 그게 끝은 아니겠죠._0									
T	그래, 이렇게 머리가 빠르게 굴러가는 인재가 필요하던 거라고.			Default	11_대표					
	수동적인 애들 보다는 능동적인 애가 더 좋지, 편하게 들어와.			Default	11_???					
T	이 성격이 아마 여러 제의를 받고도 이 대표를 보러 가게 된 이유였을 것이다.									
	이미 에너지 관련 연구에서 어느 정도의 성과를 낸 인물이지만서도,자신의 목표에 대한 확실한 비전과 포부를 보였기 때문에.									
	......									
	문을 열자마자 잠에서 깨어났다.									
