Dialogue,,,,,
김,안녕?,,,,
Func,Greeting2,안녕?,108,,
이,안녕,,,,
김,또 안녕?,,,,
DialogueEnd,,,,,
If,Level,<,10,Int,
,Dialogue,,,,
,이,레벨이 높구나? \n그럼 이 퀘스트를 줄게!,,,
,김,필요없어. \n넣어둬.,,,
,DialogueEnd,,,,
IfEnd,,,,,
Selector,,,,,
>>,줘 팬다.,,,,
,Result,,,,
,,Dialogue,,,
,,김,아얏! \n이것은 줄 바꿈을 테스트하는 문장.,,
,,이,적당히 해,,
,,DialogueEnd,,,
,ResultEnd,,,,
>>,한번 더 인사한다.,,,,
,Result,,,,
,,Func,Add,3,
,,Func,MultiParamTest,김지존,108
,,Dialogue,,,
,,이,그래..안녕,,
,,김,히히,,
,,DialogueEnd,,,
,ResultEnd,,,,
SelectorEnd,,,,,
Dialogue,,,,,
김,이제 뭐 하고 놀까?,,,,
이,몰루,,,,
DialogueEnd,,,,,
