Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection
T	대체 얼마나 잠들어 있던 거지?							
	나른한 기분 사이에서 깨어나, 물이 뚝뚝 떨어지는 몸을 간신히 이끌고,							
	자유를 찾는 것처럼 한 걸음 한 걸음 딛어 좁은 동면관에서 벗어났다.							
C								
T	이제 난 무엇을 해야 하지. 생각의 정리가 잘 되지 않았다.	BG_1						
	오래 전, 무언가를 하기 위해 여기 들어왔다는 것은 선명히 기억나지만…							
	다른 연구원들이 하나도 보이지 않는 것은 굉장히 이상한 일이었다.							
C								
T	그런 내 바로 앞의 동면관에, 한 여성이 눈을 감고 자는 것처럼 누워 있었다.							
	친숙한 느낌이 들었지만 아무리 건드려 봐도 열리지도, 작동을 하는 것처럼 보이지도 않았다.							
	왜 나는 깨어났는데 이 연구원은 깨어나지 않은 건지 의문만 쌓여가기 시작했다.							
	좌우를 둘러보다보니 어두컴컴한 방 끝에 하나의 문이 보였다.							
	그 문 위쪽에 난 작은 창문에서 희미하지만,							
	내부의 어둠과 대비되는 하얀 빛이 흘러나오고 있었다.							
	몸은 본능적으로 그 쪽을 향했다.	BG_2						
T	두둥탁!		1_Move_0 | A | 2 | 0	Default	1_Fire_불의 층 관리자			
J	2 | 3 | 4_7	BG_1						
