기초 사용법,,,,
Func(메서드),,,,
"Func은 GameManger의 DialogueFunManager의 메서드를 실행시킨다.
Func | 메서드 이름 | 파라미터1 | 파라미터 2 | ... | 파라미터 n
파라미터가 없는 경우 자리를 비워둠.",,,,
,,,,
ex),,,,
Func,CharacterInit,3,,
Func,TimeLineStart,,,
,,,,
Dialogue ~ DialogueEnd,,,,
"캐릭터들의 대화 박스.
해당 범위 안에있는 대화는 순서대로 실행된다.
굳이 대화가 아니더라도 함수, 선택지 등 실행 가능.
솔직히 없어도 되지 싶은데 대화를 구분짓기 위해 정의함.",,,,
,,,,
ex),,,,
Dialogue,,,,
,캐릭터1,대화 내용 1,,
,캐릭터 2,대화 내용 2,,
,Func,Greeting,,
DialogueEnd,,,,
,,,,
Selector~SelectorEnd / Result ~ ResultEnd,,,,
"선택지와 각 선택지별로 결과를 나타내는 박스.
가장 큰 범위는 Selector ~ SelecorEnd이며, 각 선택지는 '>>'로 구분하며
 그 뒤에 Result~ResultEnd가 나온다.",,,,
,,,,
,,,,
ex),,,,
Selector,,,,
,>>,한대 친다.,,
,Result,,,
,,Dialogue,,
,,,캐릭터1,공포의 쓴맛!
,,,캐릭터2,아얏!
,,DialogueEnd,,
,ResultEnd,,,
,>>,두 대 친다.,,
,Result,,,
,,Dialogue,,
,,,캐릭터1,공공포포의의 쓴쓴맛맛!
,,,캐릭터2,아아얏얏!!
,,DialogueEnd,,
,ResultEnd,,,
SelectorEnd,,,,
,,,,
If~IfEnd,,,,
"게임 매니저 하위의 매니저인 SystemDataManager의 Dictionary<string,object>
의 값을 비교하는 블럭.
조건에 부합하면 블럭 내부의 줄을 실행하고 그렇지 않으면 IfEnd부분으로 줄을 넘긴다.
<,>,==,<=,>=,!= 비교가 가능.
If | 변수 이름 | 연산자 | 비교할 값 | 비교할 값의 형태(Int, Float, String, Boolean)",,,,
,,,,
,,,,
ex),,,,
If,affection,<=,10,Int
,Dialogue,,,
,,캐릭터1,호감도가 낮구나?,
,,캐릭터2,젠장...잘 숨겼을 텐데!,
,DialogueEnd,,,
IfEnd,,,,
,,,,
If,playerName,==,Sans,String
,Dialogue,,,
,,캐릭터1,와!,
,,캐릭터2,샌즈!,
,DialogueEnd,,,
,Func,PlayMegalovania,,
IfEnd,,,,
